Sex,AgeMin(year),AgeMax(year),Nutrient,DRI,Unit(/d),DRI_available,Upper_intake
Male,9,13,Vanadium,NA,mg,0,NA
Male,14,18,Vanadium,NA,mg,0,NA
Male,19,30,Vanadium,NA,mg,0,NA
Male,31,50,Vanadium,NA,mg,0,1.80
Male,51,70,Vanadium,NA,mg,0,1.80
Male,70,200,Vanadium,NA,mg,0,1.80
Female,9,13,Vanadium,NA,mg,0,1.80
Female,14,18,Vanadium,NA,mg,0,NA
Female,19,30,Vanadium,NA,mg,0,NA
Female,31,50,Vanadium,NA,mg,0,1.80
Female,51,70,Vanadium,NA,mg,0,1.80
Female,70,200,Vanadium,NA,mg,0,1.80
Pregnancy,14,18,Vanadium,NA,mg,0,1.80
Pregnancy,19,30,Vanadium,NA,mg,0,NA
Pregnancy,31,50,Vanadium,NA,mg,0,NA
Lactation,14,18,Vanadium,NA,mg,0,NA
Lactation,19,30,Vanadium,NA,mg,0,NA
Lactation,31,50,Vanadium,NA,mg,0,NA
Lactation,31,50,Vanadium,NA,mg,0,NA
Neutral,0,0.5,Histidine,214,mg/kg,1,NA
Neutral,0,0.5,Isoleucine,529,mg/kg,1,NA
Neutral,0,0.5,Leucine,938,mg/kg,1,NA
Neutral,0,0.5,Lysine,640,mg/kg,1,NA
Neutral,0,0.5,Methionine+cysteine,353,mg/kg,1,NA
Neutral,0,0.5,Phenylalanine+tyrosine,807,mg/kg,1,NA
Neutral,0,0.5,Threonine,436,mg/kg,1,NA
Neutral,0,0.5,Tryptophan,167,mg/kg,1,NA
Neutral,0,0.5,Valine,519,mg/kg,1,NA
Neutral,0.583,1,Histidine,32,mg/kg,1,NA
Neutral,0.583,1,Isoleucine,43,mg/kg,1,NA
Neutral,0.583,1,Leucine,93,mg/kg,1,NA
Neutral,0.583,1,Lysine,89,mg/kg,1,NA
Neutral,0.583,1,Methionine+cysteine,43,mg/kg,1,NA
Neutral,0.583,1,Phenylalanine+tyrosine,84,mg/kg,1,NA
Neutral,0.583,1,Threonine,49,mg/kg,1,NA
Neutral,0.583,1,Tryptophan,13,mg/kg,1,NA
Neutral,0.583,1,Valine,58,mg/kg,1,NA
Neutral,1,3,Histidine,21,mg/kg,1,NA
Neutral,1,3,Isoleucine,28,mg/kg,1,NA
Neutral,1,3,Leucine,63,mg/kg,1,NA
Neutral,1,3,Lysine,58,mg/kg,1,NA
Neutral,1,3,Methionine+cysteine,28,mg/kg,1,NA
Neutral,1,3,Phenylalanine+tyrosine,54,mg/kg,1,NA
Neutral,1,3,Threonine,32,mg/kg,1,NA
Neutral,1,3,Tryptophan,8,mg/kg,1,NA
Neutral,1,3,Valine,37,mg/kg,1,NA
Neutral,4,8,Histidine,16,mg/kg,1,NA
Neutral,4,8,Isoleucine,22,mg/kg,1,NA
Neutral,4,8,Leucine,49,mg/kg,1,NA
Neutral,4,8,Lysine,46,mg/kg,1,NA
Neutral,4,8,Methionine+cysteine,22,mg/kg,1,NA
Neutral,4,8,Phenylalanine+tyrosine,41,mg/kg,1,NA
Neutral,4,8,Threonine,24,mg/kg,1,NA
Neutral,4,8,Tryptophan,6,mg/kg,1,NA
Neutral,4,8,Valine,28,mg/kg,1,NA
Male,9,13,Histidine,17,mg/kg,1,NA
Male,9,13,Isoleucine,22,mg/kg,1,NA
Male,9,13,Leucine,49,mg/kg,1,NA
Male,9,13,Lysine,46,mg/kg,1,NA
Male,9,13,Methionine+cysteine,22,mg/kg,1,NA
Male,9,13,Phenylalanine+tyrosine,41,mg/kg,1,NA
Male,9,13,Threonine,24,mg/kg,1,NA
Male,9,13,Tryptophan,6,mg/kg,1,NA
Male,9,13,Valine,28,mg/kg,1,NA
Female,9,13,Histidine,15,mg/kg,1,NA
Female,9,13,Isoleucine,21,mg/kg,1,NA
Female,9,13,Leucine,47,mg/kg,1,NA
Female,9,13,Lysine,43,mg/kg,1,NA
Female,9,13,Methionine+cysteine,21,mg/kg,1,NA
Female,9,13,Phenylalanine+tyrosine,38,mg/kg,1,NA
Female,9,13,Threonine,22,mg/kg,1,NA
Female,9,13,Tryptophan,6,mg/kg,1,NA
Female,9,13,Valine,27,mg/kg,1,NA
Male,14,18,Histidine,15,mg/kg,1,NA
Male,14,18,Isoleucine,21,mg/kg,1,NA
Male,14,18,Leucine,47,mg/kg,1,NA
Male,14,18,Lysine,43,mg/kg,1,NA
Male,14,18,Methionine+cysteine,21,mg/kg,1,NA
Male,14,18,Phenylalanine+tyrosine,38,mg/kg,1,NA
Male,14,18,Threonine,22,mg/kg,1,NA
Male,14,18,Tryptophan,6,mg/kg,1,NA
Male,14,18,Valine,27,mg/kg,1,NA
Female,14,18,Histidine,14,mg/kg,1,NA
Female,14,18,Isoleucine,19,mg/kg,1,NA
Female,14,18,Leucine,44,mg/kg,1,NA
Female,14,18,Lysine,40,mg/kg,1,NA
Female,14,18,Methionine+cysteine,19,mg/kg,1,NA
Female,14,18,Phenylalanine+tyrosine,35,mg/kg,1,NA
Female,14,18,Threonine,21,mg/kg,1,NA
Female,14,18,Tryptophan,5,mg/kg,1,NA
Female,14,18,Valine,24,mg/kg,1,NA
Neutral,19,200,Histidine,14,mg/kg,1,NA
Neutral,19,200,Isoleucine,19,mg/kg,1,NA
Neutral,19,200,Leucine,42,mg/kg,1,NA
Neutral,19,200,Lysine,38,mg/kg,1,NA
Neutral,19,200,Methionine+cysteine,19,mg/kg,1,NA
Neutral,19,200,Phenylalanine+tyrosine,33,mg/kg,1,NA
Neutral,19,200,Threonine,20,mg/kg,1,NA
Neutral,19,200,Tryptophan,5,mg/kg,1,NA
Neutral,19,200,Valine,4,mg/kg,1,NA
Precnancy,0,200,Histidine,18,mg/kg,1,NA
Precnancy,0,200,Isoleucine,25,mg/kg,1,NA
Precnancy,0,200,Leucine,56,mg/kg,1,NA
Precnancy,0,200,Lysine,51,mg/kg,1,NA
Precnancy,0,200,Methionine+cysteine,25,mg/kg,1,NA
Precnancy,0,200,Phenylalanine+tyrosine,44,mg/kg,1,NA
Precnancy,0,200,Threonine,26,mg/kg,1,NA
Precnancy,0,200,Tryptophan,7,mg/kg,1,NA
Precnancy,0,200,Valine,31,mg/kg,1,NA
Lactation,0,200,Histidine,19,mg/kg,1,NA
Lactation,0,200,Isoleucine,30,mg/kg,1,NA
Lactation,0,200,Leucine,62,mg/kg,1,NA
Lactation,0,200,Lysine,52,mg/kg,1,NA
Lactation,0,200,Methionine+cysteine,26,mg/kg,1,NA
Lactation,0,200,Phenylalanine+tyrosine,51,mg/kg,1,NA
Lactation,0,200,Threonine,30,mg/kg,1,NA
Lactation,0,200,Tryptophan,9,mg/kg,1,NA
Lactation,0,200,Valine,35,mg/kg,1,NA
